                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4315,                 1.7595,                 1.3955,                 0.6711,                0.57562,                0.65534,                0.36721,                 1.6201,                 1.9313,                 1.5613,             0.00066524,             0.00066524,             0.00066524
                      2,                 1.4896,                 1.5678,                 1.4498,                0.67589,                0.57636,                0.65442,                0.37021,                 1.5418,                 1.5374,                 1.5239,              0.0013187,              0.0013187,              0.0013187
                      3,                 1.4893,                 1.5039,                 1.4533,                0.68062,                0.60396,                0.67594,                0.37596,                  1.521,                 1.4593,                 1.4909,               0.001959,               0.001959,               0.001959
                      4,                 1.4474,                 1.4477,                 1.4408,                0.69539,                0.63024,                0.70785,                0.39904,                 1.5521,                 1.4524,                 1.5109,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4117,                 1.3945,                 1.4175,                0.75665,                0.66433,                0.75969,                 0.4629,                 1.3963,                 1.2361,                 1.4317,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3867,                 1.3365,                 1.3969,                 0.7984,                0.66593,                0.77045,                0.47318,                 1.3752,                 1.2418,                 1.4103,               0.001901,               0.001901,               0.001901
                      7,                 1.3499,                 1.2736,                  1.369,                0.77244,                0.70191,                0.78163,                0.46738,                 1.3902,                 1.1774,                 1.3717,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3225,                 1.2436,                 1.3554,                0.80329,                0.68659,                0.78344,                0.49022,                 1.3594,                 1.1702,                 1.3642,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3073,                 1.2112,                   1.34,                0.80135,                0.74043,                0.81969,                0.52409,                 1.2769,                 1.0599,                 1.3166,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2968,                 1.1909,                 1.3346,                0.78808,                0.73642,                0.81113,                0.50835,                 1.2876,                 1.0776,                   1.31,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2955,                 1.1782,                 1.3352,                0.79771,                0.70933,                0.79754,                 0.5103,                 1.2599,                  1.088,                 1.3135,               0.001802,               0.001802,               0.001802
                     12,                 1.2631,                 1.1552,                 1.3098,                0.83297,                0.74694,                0.84517,                 0.5392,                  1.248,                 1.0481,                 1.2803,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2601,                 1.1379,                 1.3159,                0.82815,                0.72885,                0.82981,                0.53233,                 1.2515,                 0.9888,                 1.2856,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2554,                 1.1058,                 1.3006,                0.82151,                0.75844,                0.84753,                0.54481,                 1.2302,                0.98565,                 1.2742,              0.0017426,              0.0017426,              0.0017426
